breed,url,Images,Adaptability,ApartmentSuitability,InexperiencedOwner,ToleranceAlone,Friendliness,Shedding,Health,Size,TrainAbility,Noisy,ExerciseNeeds,breed_group,AgeAverage
Otterhound,https://dogtime.com/dog-breeds/otterhound,https://dogtime.com/wp-content/uploads/sites/12/2011/01/file_23034_otterhound.jpg,3,1,4,5,5,4,4,4,4,2,5,Hound Dogs,3
Papillon,https://dogtime.com/dog-breeds/papillon,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-919583490-e1692807780270.jpg?w=1024,3,5,5,1,4,2,3,1,3,2,4,Companion Dogs,4
Papipoo,https://dogtime.com/dog-breeds/papipoo,https://dogtime.com/wp-content/uploads/sites/12/2020/01/papipoo-mixed-dog-breed-pictures-cover-1.jpg,4,5,5,1,4,1,3,1,3,2,5,Mixed Breed Dogs,4
Peekapoo,https://dogtime.com/dog-breeds/peekapoo,https://dogtime.com/wp-content/uploads/sites/12/2011/01/file_23222_peekapoo.jpg,4,5,5,2,4,2,3,1,3,4,3,Hybrid Dogs,4
Pekingese,https://dogtime.com/dog-breeds/pekingese,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-592689430-e1701106534817.jpg?w=1024,3,5,4,3,3,4,2,1,4,4,2,Companion Dogs,4
Pembroke Welsh Corgi,https://dogtime.com/dog-breeds/pembroke-welsh-corgi,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1193591781-e1689606163833.jpg?w=1024,4,4,4,3,4,5,3,2,3,2,4,Herding Dogs,4
Petit Basset Griffon Vendeen,https://dogtime.com/dog-breeds/petit-basset-griffon-vendeen,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1326613987-e1710166248668.jpg?w=1024,3,4,3,3,5,4,3,2,4,5,5,Hound Dogs,5
Pharaoh Hound,https://dogtime.com/dog-breeds/pharaoh-hound,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-87733113-e1694530361947.jpg?w=1024,4,4,4,2,5,2,5,3,4,4,3,Hound Dogs,4
Pitsky,https://dogtime.com/dog-breeds/pitsky,https://dogtime.com/wp-content/uploads/sites/12/2019/07/pitsky-mixed-dog-breed-pictures-cover.jpg,2,2,1,1,5,4,4,3,4,4,5,Mixed Breed Dogs,4
Plott,https://dogtime.com/dog-breeds/plott,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-1249959818-1-e1705507108397.jpg?w=1024,2,1,1,2,4,2,5,3,4,1,4,Hound Dogs,4
Pocket Beagle,https://dogtime.com/dog-breeds/pocket-beagle,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-106558201-e1704373936986.jpg?w=1024,3,4,3,2,5,3,3,2,4,5,4,Hound Dogs,4
Pointer,https://dogtime.com/dog-breeds/pointer,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-130406055-e1693514779447.jpg?w=1024,2,1,1,1,5,3,3,3,5,3,5,Sporting Dogs,4
Polish Lowland Sheepdog,https://dogtime.com/dog-breeds/polish-lowland-sheepdog,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1179752527-e1695392708571.jpg,4,4,2,3,4,1,4,3,3,2,4,Herding Dogs,3
Pomapoo,https://dogtime.com/dog-breeds/pomapoo,https://dogtime.com/wp-content/uploads/sites/12/2019/08/GettyImages-1255276036-e1707598584889.jpg?w=1024,3,5,5,1,4,3,3,1,3,3,3,Mixed Breed Dogs,4
Pomchi,https://dogtime.com/dog-breeds/pomchi,https://dogtime.com/wp-content/uploads/sites/12/2019/08/pomchi-mixed-dog-breed-pictures-cover.jpg,3,4,3,3,3,3,5,1,4,4,4,Mixed Breed Dogs,5
Pomeagle,https://dogtime.com/dog-breeds/pomeagle,https://dogtime.com/wp-content/uploads/sites/12/2019/08/pomeagle-mixed-dog-breed-pictures-cover.jpg,3,4,4,1,4,4,3,1,3,5,4,Mixed Breed Dogs,4
Pomeranian,https://dogtime.com/dog-breeds/pomeranian,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-654892254-e1689593598708.jpg?w=1024,3,4,4,1,3,4,3,1,3,5,3,Companion Dogs,4
Pomsky,https://dogtime.com/dog-breeds/pomsky,https://dogtime.com/wp-content/uploads/sites/12/2017/10/GettyImages-1454876890-e1692571487351.jpg?w=1024,3,5,2,1,3,4,3,2,4,5,3,Mixed Breed Dogs,4
Poochon,https://dogtime.com/dog-breeds/poochon,https://dogtime.com/wp-content/uploads/sites/12/2024/02/GettyImages-1816855440-e1709074098535.jpg?w=1024,4,5,5,1,5,1,3,2,3,2,4,Mixed Breed Dogs,4
Poodle,https://dogtime.com/dog-breeds/poodle,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-182816790-e1698160624173.jpg,4,5,5,1,5,1,2,4,4,2,4,Companion Dogs,4
Portuguese Podengo Pequeno,https://dogtime.com/dog-breeds/portuguese-podengo-pequeno,https://dogtime.com/wp-content/uploads/sites/12/2019/09/GettyImages-157767491-e1707428265826.jpg?w=1024,3,5,4,3,4,3,4,1,4,4,4,Hound Dogs,4
Portuguese Water Dog,https://dogtime.com/dog-breeds/portuguese-water-dog,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1354073544-e1693697432472.jpg?w=1024,3,4,3,2,5,1,4,3,4,3,5,Working Dogs,4
Pug,https://dogtime.com/dog-breeds/pug,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-sb10066858aa-001-e1693353192358.jpg,3,5,5,1,4,5,1,2,2,2,4,Companion Dogs,4
Pugalier,https://dogtime.com/dog-breeds/pugalier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-141824266-e1695067970518.jpg?w=1024,4,5,5,2,5,4,3,2,3,3,4,Mixed Breed Dogs,4
Puggle,https://dogtime.com/dog-breeds/puggle,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-173812656-e1692210730692.jpg?w=1024,4,4,5,3,5,3,4,2,3,4,3,Hybrid Dogs,4
Puli,https://dogtime.com/dog-breeds/puli,"https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1132440533.jpg?resize=2048,1368",3,4,1,2,4,1,5,3,4,4,5,Herding Dogs,4
Pyrenean Shepherd,https://dogtime.com/dog-breeds/pyrenean-shepherd,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-144327004-e1707071663361.jpg?w=1024,3,5,2,1,4,3,2,2,3,5,5,Herding Dogs,5
Rat Terrier,https://dogtime.com/dog-breeds/rat-terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-501597845-e1692138856217.jpg?w=1024,3,5,3,3,4,4,4,1,3,1,5,Terrier Dogs,5
Redbone Coonhound,https://dogtime.com/dog-breeds/redbone-coonhound,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-478044020-e1695634157315.jpg?w=1024,3,4,2,2,4,2,3,3,4,4,5,Hound Dogs,3
Rhodesian Ridgeback,https://dogtime.com/dog-breeds/rhodesian-ridgeback,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-975716310-e1688262804516.jpg?w=1024,3,1,2,2,4,4,4,4,3,1,5,Hound Dogs,3
Rottador,https://dogtime.com/dog-breeds/rottador,https://dogtime.com/wp-content/uploads/sites/12/2019/11/rottador-mixed-dog-breed-pictures-cover.jpg,3,3,2,1,4,4,2,4,4,4,5,Mixed Breed Dogs,3
Rottle,https://dogtime.com/dog-breeds/rottle,https://dogtime.com/wp-content/uploads/sites/12/2019/12/rottle-mixed-dog-breed-pictures-cover.jpg,3,4,3,3,4,2,4,3,3,2,4,Mixed Breed Dogs,4
Rottweiler,https://dogtime.com/dog-breeds/rottweiler,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-1198147566-e1701133343267.jpg?w=1024,2,2,1,1,4,4,2,3,4,4,4,Working Dogs,2
Saint Berdoodle,https://dogtime.com/dog-breeds/saint-berdoodle,https://dogtime.com/wp-content/uploads/sites/12/2019/08/Jungle-Curl-Collage-e1707072995312.png,3,2,5,2,5,3,4,4,3,3,3,Mixed Breed Dogs,3
Saint Bernard,https://dogtime.com/dog-breeds/saint-bernard,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-587079387-e1693516546155.jpg?w=1024,3,3,2,1,5,4,2,5,2,1,3,Working Dogs,2
Saluki,https://dogtime.com/dog-breeds/saluki,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1395012589-e1693920667739.jpg?w=1024,2,1,2,1,4,2,4,4,4,1,4,Hound Dogs,4
Samoyed,https://dogtime.com/dog-breeds/samoyed,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-997016774-e1694111248101.jpg?w=1024,3,2,2,2,5,5,3,3,4,3,4,Working Dogs,4
Samusky,https://dogtime.com/dog-breeds/samusky,https://dogtime.com/wp-content/uploads/sites/12/2019/12/samusky-mixed-dog-breed-pictures-cover.jpg,3,2,3,2,4,4,3,4,3,2,4,Mixed Breed Dogs,4
Schipperke,https://dogtime.com/dog-breeds/schipperke,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1227082883-e1697817166227.jpg?w=1024,3,4,4,3,3,3,4,1,3,4,5,Companion Dogs,4
Schnoodle,https://dogtime.com/dog-breeds/schnoodle,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1177553118-e1691704553367.jpg?w=1024,3,3,5,2,4,2,3,4,3,2,4,Hybrid Dogs,4
Scottish Deerhound,https://dogtime.com/dog-breeds/scottish-deerhound,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-705005211-e1694536944778.jpg?w=1024,3,1,1,2,4,5,3,5,3,1,5,Hound Dogs,2
Scottish Terrier,https://dogtime.com/dog-breeds/scottish-terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-122599859-e1696958039342.jpg?w=1024,3,4,2,3,4,2,4,2,3,4,4,Terrier Dogs,4
Sealyham Terrier,https://dogtime.com/dog-breeds/sealyham-terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1250645922-1-e1692385289996.jpg?w=1024,4,4,4,2,4,4,5,2,3,2,4,Terrier Dogs,4
Sheepadoodle,https://dogtime.com/dog-breeds/sheepadoodle,https://dogtime.com/wp-content/uploads/sites/12/2020/01/sheepadoodle-mixed-dog-breed-pictures-cover.jpg,4,4,4,2,5,1,4,4,3,2,4,Mixed Breed Dogs,4
Shepsky,https://dogtime.com/dog-breeds/shepsky,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-992460814-e1705419500212.jpg?w=1024,3,1,1,2,4,4,4,4,4,3,5,Mixed Breed Dogs,4
Shetland Sheepdog,https://dogtime.com/dog-breeds/shetland-sheepdog,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-518594332-e1692194561378.jpg?w=1024,3,2,3,2,5,5,4,1,3,1,4,Herding Dogs,4
Shiba Inu,https://dogtime.com/dog-breeds/shiba-inu,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-653001154-e1691965000531.jpg?w=1024,4,5,4,5,3,4,3,2,4,4,3,Companion Dogs,4
Shichon,https://dogtime.com/dog-breeds/shichon,https://dogtime.com/wp-content/uploads/sites/12/2020/01/shichon-mixed-dog-breed-pictures-cover.jpg,3,5,4,1,5,1,4,2,2,2,4,Mixed Breed Dogs,5
Shih-Poo,https://dogtime.com/dog-breeds/shih-poo,https://dogtime.com/wp-content/uploads/sites/12/2023/12/GettyImages-1487826002-e1702396830635.jpg,3,5,2,2,4,1,3,1,3,2,3,Mixed Breed Dogs,4
Shih Tzu,https://dogtime.com/dog-breeds/shih-tzu,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-178920540-e1689348859523.jpg?w=1024,3,5,5,3,5,3,3,1,3,2,3,Companion Dogs,4
Shiranian,https://dogtime.com/dog-breeds/shiranian,https://dogtime.com/wp-content/uploads/sites/12/2019/09/shiranian-mixed-dog-breed-pictures-cover.jpg,3,4,4,2,4,2,2,2,2,2,3,Mixed Breed Dogs,4
Shollie,https://dogtime.com/dog-breeds/shollie,https://dogtime.com/wp-content/uploads/sites/12/2019/11/shollie-mixed-dog-breed-pictures-cover.jpg,3,1,2,2,3,4,3,4,4,3,4,Mixed Breed Dogs,4
Shorkie,https://dogtime.com/dog-breeds/shorkie,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-519672843-e1698161294142.jpg?w=1024,3,5,3,1,3,2,2,1,3,4,4,Mixed Breed Dogs,4
Siberian Husky,https://dogtime.com/dog-breeds/siberian-husky,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-1454565264-e1701120522406.jpg?w=1024,3,2,1,1,5,3,4,3,4,5,5,Working Dogs,4
Silken Windhound,https://dogtime.com/dog-breeds/silken-windhound,https://dogtime.com/wp-content/uploads/sites/12/2018/10/GettyImages-738776691-e1707006196197.jpg?w=1024,4,4,4,2,4,2,4,3,4,1,4,Hound Dogs,5
Silky Terrier,https://dogtime.com/dog-breeds/silky-terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-494831928-1-e1697051827207.jpg?w=1024,3,5,3,3,3,2,4,1,4,4,4,Companion Dogs,4
Skye Terrier,https://dogtime.com/dog-breeds/skye-terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-821285322-e1694008412391.jpg?w=1024,4,4,4,2,4,3,5,2,4,4,4,Terrier Dogs,4
Sloughi,https://dogtime.com/dog-breeds/sloughi,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-451049741-e1695997544502.jpg?w=1024,3,4,2,3,4,3,3,4,3,2,4,Hound Dogs,4
Small Munsterlander Pointer,https://dogtime.com/dog-breeds/small-munsterlander-pointer,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1210390099-e1710119437177.jpg?w=1024,3,1,2,4,5,3,5,3,4,3,5,Sporting Dogs,4
Soft Coated Wheaten Terrier,https://dogtime.com/dog-breeds/soft-coated-wheaten-terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-129254124-e1694793485621.jpg?w=1024,3,5,4,2,5,2,4,3,3,3,4,Terrier Dogs,4
Spanish Mastiff,https://dogtime.com/dog-breeds/spanish-mastiff,https://dogtime.com/wp-content/uploads/sites/12/2020/01/GettyImages-1347184243-e1695256198876.jpg?w=1024,3,2,1,3,3,3,4,5,2,1,3,Working Dogs,3
Spinone Italiano,https://dogtime.com/dog-breeds/spinone-italiano,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-934870840-e1700525646592.jpg?w=1024,4,4,4,2,5,3,3,4,3,2,4,Sporting Dogs,4
Springador,https://dogtime.com/dog-breeds/springador,https://dogtime.com/wp-content/uploads/sites/12/2019/11/springador-mixed-dog-breed-pictures-cover.jpg,3,2,3,1,3,1,4,4,4,3,4,Mixed Breed Dogs,4
Stabyhoun,https://dogtime.com/dog-breeds/stabyhoun,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-177302476-e1708355460376.jpg?w=1024,3,2,3,3,4,3,5,3,4,3,4,Sporting Dogs,4
Staffordshire Bull Terrier,https://dogtime.com/dog-breeds/staffordshire-bull-terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1418252093-e1695215819445.jpg?w=1024,2,3,1,2,4,3,3,2,3,3,4,Terrier Dogs,4
Standard Schnauzer,https://dogtime.com/dog-breeds/standard-schnauzer,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-186512978-e1698415021170.jpg?w=1024,3,4,2,2,3,1,5,3,4,2,5,Working Dogs,4
Sussex Spaniel,https://dogtime.com/dog-breeds/sussex-spaniel,https://dogtime.com/wp-content/uploads/sites/12/2011/01/file_22994_sussex-spaniel.jpg,4,5,5,1,5,3,4,2,3,4,2,Sporting Dogs,4
Swedish Vallhund,https://dogtime.com/dog-breeds/swedish-vallhund,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1131346877-e1694391250949.jpg?w=1024,3,3,1,3,4,4,4,3,3,1,5,Herding Dogs,4
Terripoo,https://dogtime.com/dog-breeds/terripoo,https://dogtime.com/wp-content/uploads/sites/12/2020/01/terripoo-mixed-dog-breed-pictures-cover.jpg,3,5,5,1,4,1,3,1,4,3,4,Mixed Breed Dogs,4
Texas Heeler,https://dogtime.com/dog-breeds/texas-heeler,https://dogtime.com/wp-content/uploads/sites/12/2023/09/animal_blur_blurred_background_canine_close_up_dog_domestic_eyes-1491887.jpg,3,2,3,3,3,4,3,3,4,2,4,Mixed Breed Dogs,4
Tibetan Mastiff,https://dogtime.com/dog-breeds/tibetan-mastiff,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1037524792-e1696604393664.jpg?w=1024,3,1,1,1,4,2,3,5,3,2,3,Working Dogs,4
Tibetan Spaniel,https://dogtime.com/dog-breeds/tibetan-spaniel,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-823775834-e1695923749953.jpg,3,5,4,1,4,3,5,1,4,4,4,Companion Dogs,4
Tibetan Terrier,https://dogtime.com/dog-breeds/tibetan-terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-10069983-e1695050398838.jpg,4,5,3,1,4,1,5,2,3,2,5,Companion Dogs,4
Toy Fox Terrier,https://dogtime.com/dog-breeds/toy-fox-terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-533462277-1-e1698438000362.jpg?w=1024,3,5,3,1,4,4,5,1,4,4,5,Companion Dogs,4
Treeing Tennessee Brindle,https://dogtime.com/dog-breeds/treeing-tennessee-brindle,https://dogtime.com/wp-content/uploads/sites/12/2024/01/Screen-Shot-2024-01-03-at-6.29.33-PM.png,2,1,2,2,4,4,4,3,3,1,4,Hound Dogs,3
Treeing Walker Coonhound,https://dogtime.com/dog-breeds/treeing-walker-coonhound,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-167081841-e1691849949983.jpg?w=1024,3,1,2,2,4,3,4,4,4,5,4,Hound Dogs,4
Valley Bulldog,https://dogtime.com/dog-breeds/valley-bulldog,https://dogtime.com/wp-content/uploads/sites/12/2019/09/GettyImages-1250734157-e1708871135182.jpg?w=1024,3,4,3,2,4,4,3,4,3,4,4,Mixed Breed Dogs,3
Vizsla,https://dogtime.com/dog-breeds/vizsla,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1365421484-e1694275663873.jpg?w=1024,3,1,3,1,5,2,4,3,4,5,5,Sporting Dogs,4
Weimaraner,https://dogtime.com/dog-breeds/weimaraner,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-91815079-e1694183576543.jpg?w=1024,3,1,2,1,4,4,3,4,4,2,5,Sporting Dogs,4
Welsh Springer Spaniel,https://dogtime.com/dog-breeds/welsh-springer-spaniel,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1394081925-1-e1694782874593.jpg?w=1024,4,4,4,1,4,3,4,3,4,5,5,Sporting Dogs,4
Welsh Terrier,https://dogtime.com/dog-breeds/welsh-terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-529370327-e1694035240255.jpg?w=1024,3,3,3,2,5,2,5,2,4,4,5,Terrier Dogs,4
West Highland White Terrier,https://dogtime.com/dog-breeds/west-highland-white-terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-467031087-e1693936139162.jpg?w=1024,4,4,4,2,4,4,3,2,4,4,4,Terrier Dogs,4
Westiepoo,https://dogtime.com/dog-breeds/westiepoo,https://dogtime.com/wp-content/uploads/sites/12/2024/01/Screen-Shot-2024-01-03-at-3.13.22-PM-e1704312902803.png,3,3,4,1,4,1,4,2,4,3,4,Mixed Breed Dogs,4
Whippet,https://dogtime.com/dog-breeds/whippet,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-150525400-e1692215312613.jpg?w=1024,3,5,3,2,5,2,4,3,4,1,4,Hound Dogs,4
Whoodle,https://dogtime.com/dog-breeds/whoodle,https://dogtime.com/wp-content/uploads/sites/12/2024/03/GettyImages-1208659674-e1710355758196.jpg?w=1024,3,4,1,1,4,2,4,3,2,1,4,Mixed Breed Dogs,4
Wirehaired Pointing Griffon,https://dogtime.com/dog-breeds/wirehaired-pointing-griffon,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-849548232-e1695914473398.jpg?w=1024,3,1,3,1,5,1,4,3,4,4,4,Sporting Dogs,4
Xoloitzcuintli,https://dogtime.com/dog-breeds/xoloitzuintli,https://dogtime.com/wp-content/uploads/sites/12/2019/05/GettyImages-1536093794-e1693762449380.jpg?w=1024,3,5,1,1,3,5,5,3,4,5,3,Companion Dogs,5
Yorkipoo,https://dogtime.com/dog-breeds/yorkipoo,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1424309337-e1692548749462.jpg?w=1024,4,5,5,3,4,1,3,1,4,5,4,Hybrid Dogs,4
Yorkshire Terrier,https://dogtime.com/dog-breeds/yorkshire-terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1095667204-e1689790392229.jpg?w=1024,3,5,4,2,3,2,4,1,3,3,5,Companion Dogs,4
